C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_071.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_071.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_071.jpg, 0, 0, 0, 1.133561
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_174.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_174.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_174.jpg, 0, 0, 0, 1.119927
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_276.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_276.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_276.jpg, 0, 0, 0, 1.108691
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_377.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_377.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_377.jpg, 0, 0, 0, 1.097567
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_479.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_479.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_479.jpg, 0, 0, 0, 1.086555
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_581.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_581.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_581.jpg, 0, 0, 0, 1.075653
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_684.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_684.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_684.jpg, 0, 0.0504057, 0, 1.070618
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_790.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_790.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_790.jpg, 0, 0.3554871, 0, 1.379305
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_891.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_891.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_891.jpg, 0, 0.6563745, 0, 1.962214
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_12_993.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_12_993.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_12_993.jpg, -0.1409367, 0.9633221, 0, 2.994748
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_097.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_097.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_097.jpg, -0.04828233, 1, 0, 4.394126
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_201.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_201.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_201.jpg, 0, 1, 0, 5.554471
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_303.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_303.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_303.jpg, 0, 1, 0, 6.705145
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_404.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_404.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_404.jpg, 0, 1, 0, 7.844673
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_508.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_508.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_508.jpg, 0, 1, 0, 8.973119
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_615.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_615.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_615.jpg, -0.0243705, 1, 0, 10.31258
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_716.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_716.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_716.jpg, -0.3250713, 1, 0, 11.38264
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_818.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_818.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_818.jpg, -0.01919851, 1, 0, 12.51038
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_13_921.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_13_921.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_13_921.jpg, 0, 1, 0, 13.57839
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_14_027.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_14_027.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_14_027.jpg, -0.2827953, 1, 0, 14.63256
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_14_128.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_14_128.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_14_128.jpg, -0.05460273, 1, 0, 15.62394
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_14_240.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_14_240.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_14_240.jpg, 0, 1, 0, 16.87575
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_14_345.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_14_345.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_14_345.jpg, 0, 1, 0, 17.95631
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_14_451.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_14_451.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_14_451.jpg, 0, 1, 0, 18.97439
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_14_562.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_14_562.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_14_562.jpg, -0.3311343, 1, 0, 20.15023
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_14_672.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_14_672.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_14_672.jpg, -0.03508295, 1, 0, 21.15555
C:\Users\yacine\Downloads\simulator-windows-64\IMG\center_2022_05_09_13_20_14_778.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\left_2022_05_09_13_20_14_778.jpg, C:\Users\yacine\Downloads\simulator-windows-64\IMG\right_2022_05_09_13_20_14_778.jpg, 0, 1, 0, 22.34632
